733996,6,3,17,caught,2
419167,10,3,154,caught,1
419167,10,3,46,caught,2
419167,12,4,8,caught,2
419167,14,4,96,caught,2
419167,18,4,208,caught,1
419168,2,7,18,caught,1
419168,5,5,21,caught,1
419168,6,1,53,caught,2
419168,6,5,178,caught,2
419168,8,2,57,caught,2
419168,14,2,20,caught,1
419168,15,5,109,caught,1
419168,16,2,56,caught,2
419168,18,4,188,caught,2
419168,20,2,131,caught,2
419168,20,4,125,caught,1
419169,1,4,53,caught,1
419169,4,2,57,caught,1
419169,7,1,56,caught,1
419169,17,3,54,caught,1
419169,19,3,131,caught,1
419170,2,4,42,caught,2
419170,8,2,185,caught,1
419170,9,4,18,caught,1
419170,12,2,23,caught,1
419170,15,2,133,caught,2
419170,15,5,79,caught,2
419170,17,6,154,caught,2
419170,18,1,20,caught,1
419170,19,6,221,caught,2
501203,1,6,185,caught,1
501203,11,3,21,caught,1
501203,16,2,9,caught,2
501203,18,2,20,caught,1
501203,20,2,63,caught,2
501204,5,5,42,caught,1
501204,6,3,26,caught,1
501204,6,5,252,caught,2
501204,11,1,257,caught,1
501204,13,6,154,caught,1
501204,18,3,258,caught,1
501204,20,1,112,caught,1
501204,20,3,94,caught,1
501205,2,2,135,caught,2
501205,9,6,55,caught,1
501205,10,6,260,caught,2
501205,12,3,2,caught,1
501205,18,4,79,caught,2
501205,19,4,259,caught,1
501206,7,6,254,caught,1
501206,15,2,183,caught,1
501206,18,4,106,caught,1
501207,1,1,74,caught,2
501207,1,4,53,caught,1
501207,2,3,100,caught,1
501207,3,4,167,caught,1
501207,4,3,88,caught,1
501207,8,5,171,caught,2
501207,9,3,48,caught,1
501207,9,3,157,caught,2
501207,18,1,67,caught,1
501207,20,1,14,caught,1
501208,9,6,26,caught,2
501208,13,2,154,caught,2
501208,13,3,9,caught,1
501208,14,6,93,caught,2
501208,17,4,258,caught,2
501208,18,1,112,caught,2
501208,20,6,31,caught,1
501209,1,3,41,caught,1
501209,5,5,254,caught,1
501209,8,1,262,caught,1
501209,8,3,183,caught,1
501209,8,3,6,caught,2
501209,11,5,266,caught,2
501209,18,4,187,caught,1
501209,19,7,54,caught,1
501210,5,4,8,caught,1
501211,1,2,21,caught,1
501211,6,5,53,caught,2
501211,14,6,264,caught,2
501212,1,1,2,caught,1
501212,3,5,64,caught,1
501212,5,5,17,caught,1
501212,8,4,74,caught,2
501212,10,5,171,caught,2
501212,12,2,27,caught,2
501212,16,2,104,caught,1
501212,17,1,35,caught,1
501213,2,6,135,caught,2
501213,3,5,42,caught,1
501213,5,6,260,caught,2
501213,7,4,110,caught,2
501213,9,6,65,caught,1
501213,12,1,79,caught,2
501213,15,4,26,caught,1
