501274,40,Captain,1
392220,133,Captain,7
548368,40,Captain,1
548368,50,Captain,7
501244,40,Captain,1
419149,1,Captain,1
733998,42,Captain,11
419149,40,Captain,6
733998,158,Captain,6
392238,38,Captain,5
335991,1,Captain,1
598042,4,Captain,4
598042,57,Captain,7
392206,41,Captain,6
980992,8,Captain,2
336031,41,Captain,6
980908,40,Captain,1
336024,27,Captain,4
734000,57,Captain,7
548369,41,Captain,6
548319,26,Captain,8
548319,50,Captain,7
392221,27,Captain,4
980922,21,Captain,13
501210,133,Captain,7
980992,2,Captain,13
501245,38,Captain,5
501210,175,Captain,2
734002,40,Captain,1
336041,38,Captain,5
981006,21,Captain,13
734002,197,Captain,4
548370,1,Captain,10
548370,6,Captain,5
598043,254,Captain,10
336024,32,Captain,5
981000,40,Captain,1
734004,8,Captain,2
734004,32,Captain,5
598044,57,Captain,7
336005,1,Captain,1
548320,40,Captain,1
501246,27,Captain,10
980982,185,Captain,4
980970,154,Captain,6
548371,4,Captain,4
734006,42,Captain,11
548371,26,Captain,8
734006,57,Captain,7
548320,175,Captain,2
501246,133,Captain,7
392239,27,Captain,4
598045,40,Captain,1
598045,64,Captain,6
336002,1,Captain,1
419150,124,Captain,2
336018,27,Captain,4
548321,41,Captain,6
980908,15,Captain,6
734008,32,Captain,5
335989,38,Captain,5
548372,8,Captain,2
598046,4,Captain,4
548372,50,Captain,7
980920,187,Captain,11
336041,133,Captain,7
734010,8,Captain,2
501247,40,Captain,1
501247,64,Captain,9
501212,27,Captain,10
734010,158,Captain,6
548322,6,Captain,5
548322,50,Captain,7
598047,8,Captain,2
501212,64,Captain,9
980936,8,Captain,2
336032,1,Captain,1
734012,42,Captain,11
548373,40,Captain,1
336042,20,Captain,3
419151,133,Captain,7
392240,41,Captain,6
336013,38,Captain,5
734012,197,Captain,4
419127,1,Captain,1
598047,254,Captain,10
980958,187,Captain,11
501248,41,Captain,6
598048,6,Captain,5
392222,38,Captain,5
392207,38,Captain,5
734014,40,Captain,1
598048,40,Captain,1
734014,57,Captain,7
392193,158,Captain,2
548374,4,Captain,4
980944,40,Captain,1
548374,41,Captain,6
980968,185,Captain,4
980982,8,Captain,2
419127,133,Captain,7
598049,26,Captain,11
548323,175,Captain,2
392240,133,Captain,7
598049,64,Captain,6
734016,158,Captain,6
336005,38,Captain,5
336009,41,Captain,6
734016,306,Captain,5
501213,175,Captain,2
548375,40,Captain,1
548375,50,Captain,7
548324,1,Captain,10
981014,40,Captain,1
734018,8,Captain,2
598050,8,Captain,2
336032,38,Captain,5
336013,49,Captain,7
392194,41,Captain,6
392208,2,Captain,1
501249,175,Captain,2
419153,1,Captain,1
501214,38,Captain,5
734020,40,Captain,1
501214,40,Captain,1
980934,187,Captain,11
419128,21,Captain,3
548325,6,Captain,5
598051,57,Captain,7
980958,8,Captain,2
548325,40,Captain,1
734020,362,Captain,11
734022,32,Captain,5
734022,57,Captain,7
501250,40,Captain,1
981000,8,Captain,2
336025,41,Captain,6
548377,8,Captain,2
598052,6,Captain,5
419128,124,Captain,2
548377,64,Captain,6
419153,124,Captain,2
734024,158,Captain,6
734024,197,Captain,4
598052,254,Captain,10
548326,26,Captain,8
548326,41,Captain,6
392241,124,Captain,2
392223,124,Captain,2
501215,64,Captain,9
501251,41,Captain,6
598053,8,Captain,2
980990,185,Captain,4
734026,8,Captain,2
