980962,20,3,legbyes,1,1
501229,16,3,legbyes,1,1
501229,18,1,legbyes,1,2
501229,18,6,legbyes,4,2
392239,18,6,legbyes,1,2
501229,20,3,legbyes,1,1
501230,1,4,legbyes,4,1
829714,18,4,legbyes,1,1
829816,3,3,legbyes,1,2
501230,3,4,legbyes,1,2
829816,2,3,legbyes,4,1
980962,18,2,legbyes,1,2
829714,18,1,legbyes,1,2
829714,9,6,legbyes,1,1
501231,1,1,legbyes,1,2
335994,4,6,legbyes,1,2
501231,2,6,legbyes,1,2
829714,9,3,legbyes,2,1
980962,17,5,legbyes,2,2
336045,3,5,legbyes,4,2
392240,3,7,legbyes,1,1
336045,4,1,legbyes,1,1
829714,3,6,legbyes,1,1
501231,20,5,legbyes,1,2
501232,1,1,legbyes,1,2
501232,1,2,legbyes,1,1
336045,8,3,legbyes,1,1
336017,4,4,legbyes,1,2
829814,18,1,legbyes,1,1
501232,4,3,legbyes,1,2
501232,4,6,legbyes,1,1
501232,7,2,legbyes,1,2
829714,1,1,legbyes,4,1
336045,9,3,legbyes,1,2
501232,14,3,legbyes,1,2
501232,14,7,legbyes,1,1
829712,18,5,legbyes,1,1
829712,3,1,legbyes,4,1
829712,2,6,legbyes,1,1
392240,10,2,legbyes,2,1
829712,1,3,legbyes,4,1
392240,11,2,legbyes,1,1
335991,2,1,legbyes,1,1
980962,14,1,legbyes,1,2
335988,17,1,legbyes,1,2
392240,13,3,legbyes,1,1
829814,14,3,legbyes,1,1
501232,20,7,legbyes,1,1
829812,4,5,legbyes,1,1
392240,15,3,legbyes,1,1
980960,7,5,legbyes,1,1
829710,4,2,legbyes,1,2
501233,6,1,legbyes,1,2
501233,6,3,legbyes,1,2
981018,2,1,legbyes,1,2
336045,18,8,legbyes,1,2
501233,13,1,legbyes,1,1
829812,1,4,legbyes,1,1
392241,3,6,legbyes,1,2
392241,4,6,legbyes,1,2
981018,1,3,legbyes,1,1
829810,12,6,legbyes,1,1
501234,2,1,legbyes,1,2
980958,3,2,legbyes,1,1
829710,1,5,legbyes,1,1
829710,1,3,legbyes,1,2
392241,8,3,legbyes,1,2
980956,20,3,legbyes,1,1
336017,7,5,legbyes,1,2
392186,2,1,legbyes,1,1
501234,14,5,legbyes,2,2
501234,16,2,legbyes,1,1
336001,20,3,legbyes,1,2
734054,19,6,legbyes,1,1
392186,6,1,legbyes,4,2
392241,19,4,legbyes,1,1
392186,6,2,legbyes,1,2
980986,18,2,legbyes,1,1
392186,10,3,legbyes,1,2
501235,12,3,legbyes,1,1
734054,17,6,legbyes,1,1
829808,9,2,legbyes,1,1
335994,9,3,legbyes,1,1
829808,8,2,legbyes,2,2
829808,7,3,legbyes,1,2
829808,7,1,legbyes,1,2
734054,13,2,legbyes,1,1
501235,18,4,legbyes,1,1
980956,16,2,legbyes,1,1
335994,10,2,legbyes,1,1
335991,2,5,legbyes,4,2
501236,13,2,legbyes,1,1
392187,2,2,legbyes,1,1
501236,13,5,legbyes,1,1
501236,15,1,legbyes,1,1
829808,3,1,legbyes,1,2
501236,17,2,legbyes,1,2
392243,4,4,legbyes,1,1
829806,19,6,legbyes,1,1
392243,10,1,legbyes,1,2
501237,5,6,legbyes,1,2
734054,1,1,legbyes,1,1
501237,11,6,legbyes,1,2
981024,17,5,legbyes,1,1
501237,17,3,legbyes,1,2
392243,12,1,legbyes,1,2
501237,19,6,legbyes,1,2
392243,12,2,legbyes,1,1
392243,17,4,legbyes,1,2
734052,10,7,legbyes,1,2
336002,7,1,legbyes,4,1
336002,7,6,legbyes,4,2
734052,5,5,legbyes,1,2
501238,4,7,legbyes,1,1
501238,6,2,legbyes,1,1
501238,6,3,legbyes,1,1
392243,18,8,legbyes,1,1
501238,8,1,legbyes,1,1
501238,10,2,legbyes,1,2
829806,17,2,legbyes,1,1
734052,5,2,legbyes,1,2
501238,20,3,legbyes,4,1
392244,1,4,legbyes,1,2
336002,8,4,legbyes,1,2
501239,6,1,legbyes,1,2
980956,11,6,legbyes,1,2
335991,3,3,legbyes,1,2
335987,15,5,legbyes,1,2
392244,3,7,legbyes,1,2
392244,9,4,legbyes,1,1
734052,4,5,legbyes,1,1
392244,9,6,legbyes,1,1
392244,10,1,legbyes,1,2
734052,3,3,legbyes,1,2
734050,8,5,legbyes,1,2
501240,9,1,legbyes,1,2
501240,10,4,legbyes,1,2
501240,12,5,legbyes,2,1
734050,5,4,legbyes,1,1
392244,13,1,legbyes,1,2
392187,14,3,legbyes,1,1
392187,14,6,legbyes,1,2
501240,20,1,legbyes,1,2
734050,2,3,legbyes,1,1
981020,20,1,legbyes,1,2
501241,1,1,legbyes,1,2
392244,18,6,legbyes,1,2
392244,20,5,legbyes,4,2
734050,1,6,legbyes,1,2
734050,1,4,legbyes,1,2
981006,3,4,legbyes,1,2
336018,5,2,legbyes,1,1
501241,15,3,legbyes,1,1
734048,16,2,legbyes,1,1
734048,13,5,legbyes,1,1
734048,9,2,legbyes,1,2
501242,5,6,legbyes,1,2
734048,8,1,legbyes,1,2
