3 10
0.6513651362399951 0.6930107098790336 0.09404998094400696
0.9224221755392695 0.13010331570241151 0.6910312907431949
0.7859218128526566 0.8929515920852122 0.34226543170449253
0.7410306852663144 0.857689656964037 0.14197015715419992
0.6965231025783372 0.7350409580133276 0.042304923064647726
0.06692139825116827 0.7122628188563359 0.3749594561963706
0.21133481329538384 0.8878130009520078 0.7272393302298533
0.650011621372798 0.08123427339107714 0.132238338486384
0.6226452270026417 0.41602319566279167 0.8130422217648896
0.2649880365275712 0.04266080009361306 0.6213436731440802
