3 10
0.736449621385651 0.4689548328882387 0.8889661793996108
0.3539963352891603 0.14847463260773786 0.4182029060822702
0.1113273036910375 0.9696283289055453 0.7824853390277237
0.48074557764456727 0.030746644441114968 0.08117387094149686
0.9045332072126901 0.47216470651277076 0.3038034257702581
0.5881947577908742 0.03746745128491924 0.3818808250424335
0.167676626160691 0.8326640954312601 0.31642122756000224
0.5848007436308048 0.3776309994784415 0.8038687512037556
0.7880022997995483 0.704766734331051 0.7019279842084042
0.7675564205909414 0.04495375669101598 0.7159642073211598
